ID,symboling,normalized-losses,fuel-type,aspiration,num-of-doors,engine-location,wheel-base,length,width,height,curb-weight,num-of-cylinders,engine-size,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price
55,3,153,1,0,2,0,96.3,173,65.4,49.4,2328,4,122,3.35,3.46,8.5,88,5000,25,32,8499
56,1,125,1,0,4,0,96.3,172.4,65.4,51.6,2365,4,122,3.35,3.46,8.5,88,5000,25,32,6989
57,1,125,1,0,4,0,96.3,172.4,65.4,51.6,2405,4,122,3.35,3.46,8.5,88,5000,25,32,8189
58,1,125,1,1,4,0,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,116,5500,23,30,9279
59,-1,137,1,0,4,0,96.3,172.4,65.4,51.6,2403,4,110,3.17,3.46,7.5,116,5500,23,30,9279
60,1,128,1,0,2,0,94.5,165.3,63.8,54.5,1889,4,97,3.15,3.29,9.4,69,5200,31,37,5499
61,1,128,0,0,2,0,94.5,165.3,63.8,54.5,2017,4,103,2.99,3.47,21.9,55,4800,45,50,7099
62,1,128,1,0,2,0,94.5,165.3,63.8,54.5,1918,4,97,3.15,3.29,9.4,69,5200,31,37,6649
63,1,122,1,0,4,0,94.5,165.3,63.8,54.5,1938,4,97,3.15,3.29,9.4,69,5200,31,37,6849
64,1,103,1,0,4,0,94.5,170.2,63.8,53.5,2024,4,97,3.15,3.29,9.4,69,5200,31,37,7349
65,1,128,1,0,2,0,94.5,165.3,63.8,54.5,1951,4,97,3.15,3.29,9.4,69,5200,31,37,7299
66,1,128,1,0,2,0,94.5,165.6,63.8,53.3,2028,4,97,3.15,3.29,9.4,69,5200,31,37,7799
67,1,122,1,0,4,0,94.5,165.3,63.8,54.5,1971,4,97,3.15,3.29,9.4,69,5200,31,37,7499
68,1,103,1,0,4,0,94.5,170.2,63.8,53.5,2037,4,97,3.15,3.29,9.4,69,5200,31,37,7999
69,2,168,1,0,2,0,95.1,162.4,63.8,53.3,2008,4,97,3.15,3.29,9.4,69,5200,31,37,8249
70,0,106,1,0,4,0,97.2,173.4,65.2,54.7,2324,4,120,3.33,3.47,8.5,97,5200,27,34,8949
71,0,106,1,0,4,0,97.2,173.4,65.2,54.7,2302,4,120,3.33,3.47,8.5,97,5200,27,34,9549
72,0,128,1,0,4,0,100.4,181.7,66.5,55.1,3095,6,181,3.43,3.27,9,152,5200,17,22,13499
73,0,108,1,0,4,0,100.4,184.6,66.5,56.1,3296,6,181,3.43,3.27,9,152,5200,17,22,14399
74,0,108,1,0,4,0,100.4,184.6,66.5,55.1,3060,6,181,3.43,3.27,9,152,5200,19,25,13499
75,3,194,1,0,2,0,91.3,170.7,67.9,49.7,3071,6,181,3.43,3.27,9,160,5200,19,25,17199
76,3,194,1,1,2,0,91.3,170.7,67.9,49.7,3139,6,181,3.43,3.27,7.8,200,5200,17,23,19699
77,1,231,1,0,2,0,99.2,178.5,67.9,49.7,3139,6,181,3.43,3.27,9,160,5200,19,25,18399
78,0,161,1,0,4,0,107.9,186.7,68.4,56.7,3020,4,120,3.46,3.19,8.4,97,5000,19,24,11900
79,0,161,0,1,4,0,107.9,186.7,68.4,56.7,3197,4,152,3.7,3.52,21,95,4150,28,33,13200
80,0,161,1,0,4,0,107.9,186.7,68.4,56.7,3075,4,120,3.46,2.19,8.4,95,5000,19,24,15580
81,0,161,0,1,4,0,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21,95,4150,28,33,16900
82,0,161,1,0,4,0,107.9,186.7,68.4,56.7,3075,4,120,3.46,3.19,8.4,97,5000,19,24,16630
83,0,161,0,1,4,0,107.9,186.7,68.4,56.7,3252,4,152,3.7,3.52,21,95,4150,28,33,17950
84,0,161,1,1,4,0,108,186.7,68.3,56,3130,4,134,3.61,3.21,7,142,5600,18,24,18150
85,1,119,1,0,2,0,93.7,157.3,63.8,50.8,1918,4,90,2.97,3.23,9.4,68,5500,37,41,5572
86,1,119,1,1,2,0,93.7,157.3,63.8,50.8,2128,4,98,3.03,3.39,7.6,102,5500,24,30,7957
87,1,154,1,0,4,0,93.7,157.3,63.8,50.6,1967,4,90,2.97,3.23,9.4,68,5500,31,38,6229
88,1,154,1,0,4,0,93.7,167.3,63.8,50.8,1989,4,90,2.97,3.23,9.4,68,5500,31,38,6692
89,1,154,1,0,4,0,93.7,167.3,63.8,50.8,2191,4,98,2.97,3.23,9.4,68,5500,31,38,7609
90,-1,74,1,0,4,0,103.3,174.6,64.6,59.8,2535,4,122,3.35,3.46,8.5,88,5000,24,30,8921
91,3,186,1,0,2,0,94.5,168.9,68.3,50.2,2778,4,151,3.94,3.11,9.5,143,5500,19,27,22018
92,3,150,1,0,2,0,99.1,186.6,66.5,56.1,2658,4,121,3.54,3.07,9.31,110,5250,21,28,11850
93,2,104,1,0,4,0,99.1,186.6,66.5,56.1,2695,4,121,3.54,3.07,9.3,110,5250,21,28,12170
94,3,150,1,0,2,0,99.1,186.6,66.5,56.1,2707,4,121,2.54,2.07,9.3,110,5250,21,28,15040
95,2,104,1,0,4,0,99.1,186.6,66.5,56.1,2758,4,121,3.54,3.07,9.3,110,5250,21,28,15510
96,3,150,1,1,2,0,99.1,186.6,66.5,56.1,2808,4,121,3.54,3.07,9,160,5500,19,26,18150
97,2,104,1,1,4,0,99.1,186.6,66.5,56.1,2847,4,121,3.54,3.07,9,160,5500,19,26,18620
98,2,83,1,0,2,0,93.7,156.9,63.4,53.7,2050,4,97,3.62,2.36,9,69,4900,31,36,5118
99,2,83,1,0,2,0,93.7,157.9,63.6,53.7,2120,4,108,3.62,2.64,8.7,73,4400,26,31,7053
100,2,83,1,0,2,0,93.3,157.3,63.8,55.7,2240,4,108,3.62,2.64,8.7,73,4400,26,31,7603
101,0,102,1,0,4,0,97.2,172,65.4,52.5,2145,4,108,3.62,2.64,9.5,82,4800,32,37,7126
102,0,102,1,0,4,0,97.2,172,65.4,52.5,2190,4,108,3.62,2.64,9.5,82,4400,28,33,7775
103,0,102,1,0,4,0,97.2,172,65.4,52.5,2340,4,108,3.62,2.64,9,94,5200,26,32,9960
104,0,102,1,0,4,0,97,172,65.4,54.3,2385,4,108,3.62,2.64,9,82,4800,24,25,9233
105,0,102,1,1,4,0,97,172,65.4,54.3,2510,4,108,3.62,2.64,7.7,111,4800,24,29,11259
106,0,89,1,0,4,0,97,173.5,65.4,53,2290,4,108,3.62,2.64,9,82,4800,28,32,7463
107,0,89,1,0,4,0,97,173.5,65.4,53,2455,4,108,3.62,2.64,9,94,5200,25,31,10198
108,0,85,1,0,4,0,96.9,173.6,65.4,54.9,2420,4,108,3.62,2.64,9,82,4800,23,29,8013
109,0,85,1,1,4,0,96.9,173.6,65.4,54.9,2650,4,108,3.62,2.64,7.7,111,4800,23,23,11694
110,1,87,1,0,2,0,95.7,158.7,63.6,54.5,1985,4,92,3.05,3.03,9,62,4800,35,39,5348
111,1,87,1,0,2,0,95.7,158.7,63.6,54.5,2040,4,92,3.05,3.03,9,62,4800,31,38,6338
112,1,74,1,0,4,0,95.7,158.7,63.6,54.5,2015,4,92,3.05,3.03,9,62,4800,31,38,6488
113,0,77,1,0,4,0,95.7,169.7,63.6,59.1,2280,4,92,3.05,3.03,9,62,4800,31,37,6918
114,0,81,1,0,4,0,95.7,169.7,63.6,59.1,2290,4,92,3.05,3.03,9,62,4800,27,32,7898
115,0,91,1,0,4,0,95.7,169.7,63.6,59.1,3110,4,92,3.05,3.03,9,62,4800,27,32,8778
116,0,91,1,0,4,0,95.7,166.3,64.4,53,2081,4,98,3.19,3.03,9,70,4800,30,37,6938
117,0,91,1,0,4,0,95.7,166.3,64.4,52.8,2109,4,98,3.19,3.03,9,70,4800,30,37,7198
118,0,91,0,0,4,0,95.7,166.3,64.4,53,2275,4,110,3.27,3.35,22.5,56,4500,34,36,7898
119,0,91,0,0,4,0,95.7,166.3,64.4,52.8,2275,4,110,3.27,3.35,22.5,56,4500,38,47,7788
120,0,91,1,0,4,0,95.7,166.3,64.4,53,2094,4,98,3.19,3.03,9,70,4800,38,47,7738
121,0,91,1,0,4,0,95.7,166.3,64.4,52.8,2122,4,98,3.19,3.03,9,70,4800,28,34,8358
122,0,91,1,0,4,0,95.7,166.3,64.4,52.8,2140,4,98,3.19,3.03,9,70,4800,28,34,9258
123,1,168,1,0,2,0,94.5,168.7,64,52.6,2169,4,98,3.19,3.03,9,70,4800,29,34,8058
124,1,168,1,0,2,0,94.5,168.7,64,52.6,2204,4,98,3.19,3.03,9,70,4800,29,34,8238
125,1,168,1,0,2,0,94.5,168.7,64,52.6,2265,4,98,3.24,3.08,9.4,112,6600,26,29,9298
126,1,168,1,0,2,0,94.5,168.7,64,52.6,2300,4,98,3.24,3.08,9.4,112,6600,26,29,9538
127,2,134,1,0,2,0,98.4,176.2,65.6,52,2540,4,146,3.62,3.5,9.3,116,4800,24,30,8449
128,2,134,1,0,2,0,98.4,176.2,65.6,52,2536,4,146,3.62,3.5,9.3,116,4800,24,30,9639
129,2,134,1,0,2,0,98.4,176.2,65.6,52,2551,4,146,3.62,3.5,9.3,116,4800,24,30,9989
130,2,134,1,0,2,0,98.4,176.2,65.6,52,2679,4,146,3.62,3.5,9.3,116,4800,24,30,11199
131,2,134,1,0,2,0,98.4,176.2,65.6,52,2714,4,146,3.62,3.5,9.3,116,4800,24,30,11549
132,2,134,1,0,2,0,98.4,176.2,65.6,53,2975,4,146,3.62,3.5,9.3,116,4800,24,30,17669
133,-1,65,1,0,4,0,102.4,175.6,66.5,54.9,2326,4,122,3.31,3.54,8.7,92,4200,29,34,8948
134,-1,65,0,1,4,0,102.4,175.6,66.5,54.9,2480,4,110,3.27,3.35,22.5,73,4500,30,33,10698
135,-1,65,1,0,4,0,102.4,175.6,66.5,53.9,2414,4,122,3.31,3.54,8.7,92,4200,27,32,9988
136,-1,65,1,0,4,0,102.4,175.6,66.5,54.9,2414,4,122,3.31,3.54,8.7,92,4200,27,32,10898
137,-1,65,1,0,4,0,102.4,175.6,66.5,53.9,2458,4,122,3.31,3.54,8.7,92,4200,27,32,11248
138,3,197,1,0,2,0,102.9,183.5,67.7,52,2976,6,171,3.27,3.35,9.3,161,5200,20,24,16558
139,3,197,1,0,2,0,102.9,183.5,67.7,52,3016,6,171,3.27,3.35,9.3,161,5200,19,24,15998
140,-1,90,1,0,4,0,104.5,187.8,66.5,54.1,3131,6,171,3.27,3.35,9.2,156,5200,20,24,15690
141,2,122,0,0,2,0,97.3,171.7,65.5,55.7,2261,4,97,3.01,3.4,23,52,4800,37,46,7775
142,2,122,1,0,2,0,97.3,171.7,65.5,55.7,2209,4,109,3.19,3.4,9,85,5250,27,34,7975
143,2,94,0,0,4,0,97.3,171.7,65.5,55.7,2264,4,97,3.01,3.4,23,52,4800,37,46,7995
144,2,94,1,0,4,0,97.3,171.7,65.5,55.7,2212,4,109,3.19,3.4,9,85,5250,27,34,8195
145,2,94,1,0,4,0,97.3,171.7,65.5,55.7,2275,4,109,3.19,3.4,9,85,5250,27,34,8495
146,2,94,0,1,4,0,97.3,171.7,65.5,55.7,2319,4,97,3.01,3.4,23,68,4500,37,42,9495
147,2,94,1,0,4,0,97.3,171.7,65.5,55.7,2300,4,109,3.19,3.4,10,100,5500,26,32,9995
148,3,256,1,0,2,0,94.5,165.7,64,51.4,2221,4,109,3.19,3.4,8.5,90,5500,24,29,9980
149,-2,103,1,0,4,0,104.3,188.8,67.2,56.2,2912,4,141,3.78,3.15,9.5,114,5400,23,28,12940
150,-1,74,1,0,4,0,104.3,188.8,67.2,57.5,3034,4,141,3.78,3.15,9.5,114,5400,23,28,13415
151,-2,103,1,0,4,0,104.3,188.8,67.2,56.2,2935,4,141,3.78,3.15,9.5,114,5400,24,28,15985
152,-1,74,1,0,4,0,104.3,188.8,67.2,57.5,3042,4,141,3.78,3.15,9.5,114,5400,24,28,16515
153,-2,103,1,1,4,0,104.3,188.8,67.2,56.2,3045,4,130,3.62,3.15,7.5,162,5100,17,22,18420
154,-1,74,1,1,4,0,104.3,188.8,67.2,57.5,3157,4,130,3.62,3.15,7.5,162,5100,17,22,18950
155,-1,95,1,0,4,0,109.1,188.8,68.9,55.5,2952,4,141,3.78,3.15,9.5,114,5400,23,28,16845
156,-1,95,1,1,4,0,109.1,188.8,68.8,55.5,3049,4,141,3.78,3.15,8.7,160,5300,19,25,19045
157,-1,95,1,0,4,0,109.1,188.8,68.9,55.5,3012,6,173,3.58,2.87,8.8,134,5500,18,23,21485
158,-1,95,0,1,4,0,109.1,188.8,68.9,55.5,3217,6,145,3.01,3.4,23,106,4800,26,27,22470
159,-1,95,1,1,4,0,109.1,188.8,68.9,55.5,3062,4,141,3.78,3.15,9.5,114,5400,19,25,22625
