ID, Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
44,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
45,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
46,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1
47,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
48,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
49,1,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1
50,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
51,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
52,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
53,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
54,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
55,1,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1
56,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
57,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
58,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
59,0,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
60,1,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1
61,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
62,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
63,1,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
64,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
65,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
66,0,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1
67,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
68,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
69,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
70,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
71,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
72,1,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
73,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
74,1,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
75,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
76,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1
77,1,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
78,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
79,0,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
80,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
81,1,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
82,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
83,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
84,0,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
85,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
86,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
87,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
88,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1
89,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
90,0,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1
91,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
92,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
93,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
94,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
95,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
96,1,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1
97,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
98,1,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
99,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
100,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
101,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
102,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1
103,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
104,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
105,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
106,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
107,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
108,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
109,1,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
110,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
111,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
112,1,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1
113,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
114,1,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1
115,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
116,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
117,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
118,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
119,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
120,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
121,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
122,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1
123,1,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
124,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
125,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
126,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
127,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
128,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
129,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
130,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
131,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
132,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
133,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
134,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
135,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
136,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
137,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
138,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
139,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
140,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
141,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
142,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
143,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1
144,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
145,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
146,1,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
147,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
148,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
149,1,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
150,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
151,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
152,0,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
153,1,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
154,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
155,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
156,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1
157,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
158,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
159,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
160,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
161,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
162,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0
163,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
164,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
165,0,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
166,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
167,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
168,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
169,1,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1
170,1,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1
171,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
172,1,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1
173,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
174,1,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
175,0,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
176,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
177,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
178,1,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
179,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
180,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1
181,0,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1
182,1,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
183,0,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
184,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
185,0,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
186,0,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
187,1,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1
188,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
189,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1
190,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1
191,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
192,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
193,1,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
194,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
195,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
196,0,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1
197,1,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
198,1,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
199,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
200,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
201,1,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
202,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
203,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
204,1,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
205,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
206,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0
207,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
208,0,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
209,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
210,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
211,0,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
212,0,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
213,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
214,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
215,1,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
216,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
217,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
218,1,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
219,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
220,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
221,0,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1
222,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
223,1,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
224,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
225,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
226,1,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
227,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1
228,1,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
229,1,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
230,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1
231,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1
232,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
